loan_id,borrower_id,origination_date,maturity_date,product_type,region,sector,employment_type,age,gender,marital_status,education_level,monthly_income_npr,credit_score,loan_amount_npr,interest_rate_pct,term_months,collateral_type,pd,lgd,ead,expected_loss_npr,status,days_past_due,defaulted_flag,current_balance_npr,recovered_amount_npr,vintage,npa_flag,realized_loss_npr
L000001,B01332,2024-12-03,2028-12-03,home,Gandaki,wholesale,informal,48,M,single,secondary,59662,615,952849,12.55,48,property,0.4,0.1737,962380.97,66882.94,60_dpd,83,0,292619.94,0.0,2024-Q4,0,0.0
L000002,B00519,2021-11-07,2023-05-07,auto,Koshi,manufacturing,business_owner,65,M,divorced,primary,120733,658,571055,9.01,18,vehicle,0.4,0.3687,554973.56,81856.58,defaulted,106,1,342494.51,35020.32,2021-Q4,1,46836.26
L000003,B00006,2022-07-10,2024-07-10,personal,Koshi,health,self-employed,41,M,widowed,secondary,83105,620,81180,16.9,24,guarantee,0.4,0.421,83803.14,14111.85,60_dpd,85,0,13195.41,0.0,2022-Q3,0,0.0
L000004,B00922,2023-09-21,2028-09-21,auto,Koshi,services,salaried,67,F,married,secondary,36392,661,170895,17.41,60,cash_deposit,0.4,0.3352,164712.77,22086.97,closed,0,0,0.0,0.0,2023-Q3,0,0.0
L000005,B00329,2024-07-24,2029-07-24,SME,Lumbini,agriculture,salaried,37,M,married,bachelor,53029,602,699345,13.49,60,guarantee,0.4,0.4367,645818.89,112811.4,30_dpd,35,0,302596.03,0.0,2024-Q3,0,0.0
L000006,B00643,2024-10-26,2025-10-26,home,Sudurpashchim,construction,self-employed,32,M,married,secondary,66624,574,1529543,13.61,12,property,0.4,0.2527,1549786.49,156647.18,60_dpd,63,0,1456950.63,0.0,2024-Q4,0,0.0
L000007,B01297,2026-05-01,2030-05-01,auto,Sudurpashchim,wholesale,agriculture,52,M,married,master,63975,577,225994,14.61,48,guarantee,0.4,0.481,216974.55,41745.45,closed,0,0,0.0,0.0,2026-Q2,0,0.0
L000008,B01697,2021-07-25,2022-07-25,auto,Bagmati,retail,salaried,33,F,married,bachelor,84537,765,177363,17.33,12,vehicle,0.0261,0.4951,183759.86,2371.15,current,0,0,132453.72,0.0,2021-Q3,0,0.0
L000009,B01451,2024-01-07,2025-07-07,personal,Karnali,education,salaried,54,M,married,primary,51271,644,117609,17.16,18,guarantee,0.4,0.4122,125629.6,20713.35,current,0,0,37968.41,0.0,2024-Q1,0,0.0
L000010,B01190,2024-07-19,2026-01-19,home,Karnali,retail,business_owner,25,M,married,master,122459,721,902409,9.15,18,property,0.1062,0.229,869807.87,21160.78,30_dpd,33,0,200618.87,0.0,2024-Q3,0,0.0
L000011,B00008,2022-06-07,2027-06-07,micro,Koshi,health,informal,39,M,single,secondary,29288,683,38847,20.1,60,guarantee,0.3603,0.3858,41786.06,5809.54,30_dpd,56,0,30607.74,0.0,2022-Q2,0,0.0
L000012,B00535,2024-06-20,2027-06-20,home,Madhesh,services,informal,53,F,married,master,43947,664,791340,11.59,36,property,0.3913,0.3101,754410.74,91555.81,current,0,0,558678.45,0.0,2024-Q2,0,0.0
L000013,B00193,2025-08-20,2029-08-20,home,Madhesh,services,informal,28,F,divorced,phd,42386,683,1247111,13.02,48,property,0.2703,0.1916,1180379.81,61124.37,current,0,0,740447.2,0.0,2025-Q3,0,0.0
L000014,B01458,2025-01-19,2027-01-19,home,Koshi,wholesale,business_owner,46,F,married,master,79228,645,369695,7.5,24,property,0.4,0.2811,388581.09,43697.41,90_dpd,100,0,91519.57,0.0,2025-Q1,1,0.0
L000015,B01282,2022-08-03,2023-08-03,personal,Koshi,retail,self-employed,40,M,married,bachelor,86844,632,159860,16.32,12,guarantee,0.4,0.5252,166367.63,34947.42,current,0,0,41660.51,0.0,2022-Q3,0,0.0
L000016,B00643,2025-04-26,2031-04-26,SME,Sudurpashchim,construction,self-employed,32,M,married,secondary,66624,634,660196,13.87,72,guarantee,0.4,0.3849,693558.52,106778.56,current,0,0,89925.94,0.0,2025-Q2,0,0.0
L000017,B00316,2021-07-08,2023-07-08,SME,Sudurpashchim,construction,self-employed,36,M,single,primary,60779,769,399611,12.36,24,guarantee,0.0223,0.421,411508.28,3862.66,current,0,0,61164.79,0.0,2021-Q3,0,0.0
