borrower_id,age,gender,marital_status,education_level,employment_type,region,sector,monthly_income_npr,credit_score,existing_delinquency_flag,dependents,home_owner
B00001,59,F,married,secondary,salaried,Koshi,construction,66596,640,0,1,0
B00002,49,M,single,master,business_owner,Gandaki,retail,135449,671,0,1,1
B00003,35,F,married,primary,informal,Karnali,retail,31427,689,0,2,1
B00004,63,M,single,secondary,salaried,Gandaki,manufacturing,66688,571,0,2,1
B00005,28,F,married,secondary,salaried,Gandaki,services,108619,591,0,1,0
B00006,41,M,widowed,secondary,self-employed,Koshi,health,83105,592,1,1,1
B00007,59,F,married,primary,informal,Koshi,retail,31043,599,0,0,0
B00008,39,M,single,secondary,informal,Koshi,health,29288,676,1,2,0
B00009,43,F,married,bachelor,business_owner,Sudurpashchim,agriculture,63066,686,0,0,1
B00010,31,F,married,secondary,salaried,Koshi,manufacturing,102542,731,0,3,1
B00011,31,M,married,secondary,business_owner,Gandaki,retail,165361,706,1,2,0
B00012,44,F,widowed,secondary,self-employed,Lumbini,wholesale,46311,643,0,2,0
B00013,56,F,single,master,self-employed,Lumbini,health,91411,688,0,2,0
B00014,60,M,married,master,salaried,Koshi,services,94496,733,1,3,1
B00015,44,M,married,bachelor,salaried,Sudurpashchim,agriculture,69190,662,0,4,1
B00016,23,F,married,secondary,agriculture,Madhesh,health,41150,658,0,2,0
B00017,42,M,single,primary,self-employed,Bagmati,wholesale,152226,623,1,0,0
B00018,22,F,married,master,salaried,Karnali,manufacturing,31893,631,0,3,0
B00019,44,M,married,primary,salaried,Sudurpashchim,agriculture,122651,713,0,0,0
B00020,64,F,married,secondary,agriculture,Madhesh,retail,51079,675,0,3,1
B00021,50,M,single,secondary,business_owner,Karnali,retail,178069,783,0,2,1
B00022,58,F,married,secondary,salaried,Madhesh,services,45987,638,0,3,0
B00023,22,F,single,secondary,salaried,Madhesh,services,55488,717,0,3,0
B00024,41,F,married,master,salaried,Lumbini,agriculture,48400,696,0,0,0
B00025,53,F,married,secondary,informal,Bagmati,retail,43484,670,0,2,1
B00026,32,M,married,bachelor,self-employed,Madhesh,health,94231,651,1,0,0
B00027,42,F,married,secondary,self-employed,Koshi,retail,117004,708,0,0,1
B00028,64,M,married,primary,self-employed,Karnali,manufacturing,33656,705,0,1,0
B00029,45,M,single,master,salaried,Sudurpashchim,manufacturing,73137,686,0,0,0
B00030,69,M,married,secondary,agriculture,Lumbini,retail,66108,698,0,2,1
B00031,47,M,married,master,self-employed,Karnali,retail,117465,677,1,4,0
B00032,62,F,married,bachelor,salaried,Koshi,construction,61189,585,0,2,1
B00033,48,F,divorced,primary,salaried,Koshi,education,61438,680,0,1,1
B00034,36,M,single,master,self-employed,Madhesh,wholesale,82239,660,0,3,1
B00035,35,M,married,secondary,informal,Koshi,services,47790,782,0,3,0
B00036,67,O,single,master,salaried,Bagmati,services,96051,710,0,2,1
B00037,64,M,married,secondary,agriculture,Koshi,retail,28218,686,0,2,0
B00038,23,M,married,master,agriculture,Madhesh,agriculture,35847,700,0,3,1
B00039,57,M,married,primary,salaried,Karnali,construction,43371,619,0,0,1
B00040,27,F,married,bachelor,salaried,Koshi,wholesale,78555,641,0,3,0
B00041,41,F,married,master,salaried,Lumbini,health,92027,657,0,4,0
B00042,29,M,married,master,business_owner,Sudurpashchim,retail,56056,696,0,3,1
B00043,59,M,married,master,salaried,Lumbini,agriculture,71774,651,0,1,1
B00044,38,F,married,master,salaried,Lumbini,services,90580,647,0,3,1
B00045,24,F,single,master,self-employed,Karnali,services,108536,616,1,1,1
B00046,45,M,married,secondary,business_owner,Gandaki,services,154773,676,0,2,1
B00047,34,F,married,secondary,salaried,Sudurpashchim,wholesale,46202,684,0,3,1
B00048,70,M,married,secondary,self-employed,Lumbini,agriculture,108083,699,0,0,0
B00049,29,M,married,secondary,self-employed,Lumbini,construction,79422,637,0,1,0
B00050,46,F,married,secondary,self-employed,Gandaki,wholesale,117104,695,0,3,1
B00051,22,M,single,bachelor,agriculture,Karnali,construction,58084,618,0,3,0
B00052,40,F,married,secondary,salaried,Sudurpashchim,wholesale,53689,663,0,3,1
B00053,48,M,divorced,bachelor,agriculture,Lumbini,construction,55018,692,0,0,0
B00054,67,M,married,secondary,business_owner,Madhesh,retail,156833,661,0,2,1
B00055,27,O,married,secondary,self-employed,Karnali,retail,69809,589,0,0,0
B00056,64,M,married,bachelor,business_owner,Sudurpashchim,wholesale,125796,596,0,2,1
B00057,28,F,single,master,self-employed,Lumbini,manufacturing,44901,687,0,1,1
B00058,67,M,married,bachelor,salaried,Lumbini,agriculture,80980,707,0,2,0
B00059,55,M,married,bachelor,business_owner,Gandaki,services,117468,694,1,1,1
B00060,34,M,single,secondary,self-employed,Sudurpashchim,retail,112422,708,0,4,1
B00061,37,F,single,bachelor,business_owner,Madhesh,services,143439,660,0,2,1
B00062,56,M,single,primary,salaried,Karnali,agriculture,61856,716,0,2,0
B00063,70,F,married,secondary,informal,Koshi,agriculture,32304,693,0,1,0
B00064,60,M,widowed,secondary,self-employed,Bagmati,retail,52707,640,0,2,0
B00065,24,F,single,primary,salaried,Madhesh,retail,59851,703,0,1,0
B00066,22,M,married,secondary,self-employed,Koshi,construction,111612,691,1,0,0
B00067,26,F,single,master,business_owner,Madhesh,retail,40967,767,0,2,0
B00068,62,F,widowed,master,agriculture,Sudurpashchim,retail,31356,751,0,3,1
B00069,24,F,single,secondary,self-employed,Koshi,retail,110769,670,0,1,1
B00070,49,F,married,primary,informal,Sudurpashchim,services,64934,652,1,1,1
B00071,38,F,married,secondary,salaried,Koshi,services,50336,761,0,2,1
B00072,46,F,married,secondary,self-employed,Madhesh,agriculture,53595,705,0,3,1
B00073,64,M,married,master,informal,Gandaki,wholesale,66107,665,0,1,1
B00074,54,M,married,secondary,informal,Madhesh,agriculture,43146,566,0,3,0
B00075,30,F,married,master,business_owner,Sudurpashchim,retail,79745,633,0,3,0
B00076,56,F,single,primary,agriculture,Madhesh,construction,68803,630,0,0,1
B00077,34,F,single,phd,salaried,Koshi,manufacturing,80069,667,0,1,1
B00078,51,M,married,secondary,agriculture,Bagmati,manufacturing,63259,709,0,2,1
B00079,68,M,single,master,salaried,Koshi,retail,53151,717,0,4,1
B00080,35,M,married,secondary,salaried,Lumbini,retail,77496,758,0,2,0
B00081,28,F,married,bachelor,salaried,Madhesh,services,94925,726,0,1,1
B00082,34,M,widowed,secondary,self-employed,Karnali,manufacturing,104223,603,0,0,0
B00083,43,M,married,secondary,salaried,Madhesh,retail,88397,732,0,1,1
B00084,60,M,single,master,salaried,Gandaki,health,98062,770,0,2,1
B00085,41,M,single,master,salaried,Sudurpashchim,health,78553,768,0,1,1
B00086,36,F,divorced,master,salaried,Karnali,manufacturing,58697,608,0,1,0
B00087,65,M,married,bachelor,self-employed,Koshi,health,111313,664,1,0,0
B00088,38,F,single,master,self-employed,Gandaki,retail,51828,728,0,1,0
B00089,67,M,married,primary,salaried,Madhesh,retail,65553,611,0,0,1
B00090,44,M,married,secondary,business_owner,Koshi,retail,146463,580,0,0,0
B00091,46,M,married,secondary,informal,Koshi,manufacturing,15000,692,0,3,0
B00092,45,M,single,bachelor,business_owner,Lumbini,retail,131360,638,0,0,0
B00093,65,M,single,secondary,salaried,Lumbini,health,75992,585,0,2,1
B00094,61,M,widowed,secondary,business_owner,Bagmati,retail,68882,743,0,0,1
B00095,49,F,single,bachelor,salaried,Lumbini,wholesale,76517,684,0,1,1
B00096,35,M,married,master,salaried,Sudurpashchim,construction,73798,646,0,1,0
B00097,65,F,married,secondary,salaried,Karnali,retail,70679,622,0,0,0
B00098,21,F,married,secondary,agriculture,Koshi,wholesale,71409,685,0,0,0
B00099,45,F,married,secondary,salaried,Lumbini,agriculture,87578,703,0,3,1
B00100,27,M,single,secondary,salaried,Bagmati,wholesale,82799,693,0,0,1
B00101,29,M,married,secondary,salaried,Madhesh,retail,49515,591,0,0,1
B00102,44,M,married,bachelor,agriculture,Karnali,wholesale,49687,701,0,3,0
B00103,21,M,divorced,bachelor,business_owner,Lumbini,services,173299,713,0,1,1
B00104,64,O,single,bachelor,salaried,Koshi,health,65706,656,0,2,1
B00105,28,M,single,secondary,self-employed,Madhesh,construction,131627,732,0,0,0
